Property,FreeConduktor,Kafka 3.2.0 / Conduktor
min.insync.replicas,Minimum replicas that must acknowledge a write for it to succeed (used with acks=all),"When a producer sets acks to ""all"" (or ""-1""), this configuration specifies the minimum number of replicas that must acknowledge a write for the write to be considered successful. If this minimum cannot be met, then the producer will raise an exception (either NotEnoughReplicas or NotEnoughReplicasAfterAppend). When used together, min.insync.replicas and acks allow you to enforce greater durability guarantees. A typical scenario would be to create a topic with a replication factor of 3, set min.insync.replicas to 2, and produce with acks of ""all"". This will ensure that the producer raises an exception if a majority of replicas do not receive a write."
retention.bytes,Maximum size a partition can grow before old segments are discarded. -1 = unlimited,"This configuration controls the maximum size a partition (which consists of log segments) can grow to before we will discard old log segments to free up space if we are using the ""delete"" retention policy. By default there is no size limit only a time limit. Since this limit is enforced at the partition level, multiply it by the number of partitions to compute the topic retention in bytes."
retention.ms,How long messages are retained. -1 = forever,"This configuration controls the maximum time we will retain a log before we will discard old log segments to free up space if we are using the ""delete"" retention policy. This represents an SLA on how soon consumers must read their data. If set to -1, no time limit is applied."
compression.type,"Compression codec for stored messages: producer, gzip, snappy, lz4, zstd, or uncompressed","Specify the final compression type for a given topic. This configuration accepts the standard compression codecs ('gzip', 'snappy', 'lz4', 'zstd'). It additionally accepts 'uncompressed' which is equivalent to no compression; and 'producer' which means retain the original compression codec set by the producer."
delete.retention.ms,How long delete tombstone markers are kept on compacted topics before being removed,The amount of time to retain delete tombstone markers for log compacted topics. This setting also gives a bound on the time in which a consumer must complete a read if they begin from offset 0 to ensure that they get a valid snapshot of the final stage (otherwise delete tombstones may be collected before they complete their scan).
file.delete.delay.ms,Time to wait before deleting a segment file from disk after it is marked for deletion,The time to wait before deleting a file from the filesystem
flush.messages,Number of messages written before forcing an fsync to disk. Higher values improve throughput,This setting allows specifying an interval at which we will force an fsync of data written to the log. For example if this was set to 1 we would fsync after every message; if it were 5 we would fsync after every five messages. In general we recommend you not set this and use replication for durability and allow the operating system's background flush capabilities as it is more efficient.
flush.ms,Maximum time between forced fsyncs. Higher values improve throughput at the cost of durability,This setting allows specifying a time interval at which we will force an fsync of data written to the log. For example if this was set to 1000 we would fsync after 1000 ms had passed. In general we recommend you not set this and use replication for durability and allow the operating system's background flush capabilities as it is more efficient.
index.interval.bytes,How frequently an offset entry is added to the segment index (roughly every N bytes),This setting controls how frequently Kafka adds an index entry to its offset index. The default setting ensures that we index a message roughly every 4096 bytes. More indexing allows reads to jump closer to the exact position in the log but makes the index larger. You probably don't need to change this.
local.retention.bytes,Max bytes retained locally before older data is moved to remote (tiered) storage. -2 = use retention.bytes,"The maximum size of local log segments that can grow for a partition before it deletes the old segments. Default value is -2, it represents retention.bytes value to be used. The effective value should always be less than or equal to retention.bytes value."
